"","V1","V5","V10","V11","V26","V36","V37","V42","V44","V47","V48","V51","V54","V60","V70","V74","V77","V88","V91","V96","V99","V114","V120","V122","V123","V127","V128","V134","V139","V140","V142","V148","V151","V153","V160","V162","V166","V173","V178","V180","V181","V186","V191","V192","V193","V197","V204","V210","V212","V214","V216","V219","V223","V228","V257","V258","V262","V270","V271","V281","V283","V287","V293","V296","V308","V312","V313","V317","V321","V329","V333","V343","V347","V348","V349","V355","V360","V364","V366","V367","V371","V373","V377","V385","V388","V392","V393","V394","V424","V432","V436","V437","V440","V446","V450","V458","V470","V480","V483","V499"
"162",12,13,10,11,12,12,13,11,10,16,11,13,14,13,12,18,14,14,13,21,13,9,16,21,20,14,13,14,17,19,18,20,17,14,23,0,19,15,13,23,13,15,20,23,17,15,14,21,20,16,14,14,20,21,14,20,17,21,19,19,23,17,16,21,14,13,20,16,24,9,21,19,15,18,17,13,21,15,14,13,19,21,15,20,16,17,13,15,18,16,20,19,22,22,15,20,14,20,17,16
"166",7,6,13,10,11,11,16,10,13,7,14,16,13,16,11,9,7,13,12,20,12,12,9,2,1,13,12,17,16,12,9,13,10,17,14,19,0,14,16,16,12,8,19,16,10,14,17,2,11,15,13,17,19,14,17,19,20,24,18,10,22,16,19,20,13,12,13,15,17,18,14,18,18,11,10,12,20,14,13,12,18,20,14,13,19,16,12,14,11,9,11,22,15,15,18,19,7,13,20,19
"173",7,8,9,4,5,5,12,4,9,11,10,12,1,12,5,13,9,7,6,16,6,8,11,16,15,7,6,13,10,14,13,15,12,13,18,15,14,0,12,18,6,10,15,18,12,8,13,16,15,9,7,13,15,16,13,15,16,20,14,14,18,10,15,16,7,6,15,9,19,14,16,12,14,13,12,6,16,8,7,6,12,14,8,15,15,10,6,8,13,11,15,18,17,17,14,15,9,15,16,15
"178",9,10,7,8,9,9,10,8,7,13,2,10,11,6,9,15,11,11,10,18,10,6,13,18,17,11,10,11,14,16,15,17,14,11,20,13,16,12,0,20,10,12,17,20,14,12,7,18,17,13,11,7,17,18,11,17,14,18,16,16,20,14,13,18,11,10,17,13,21,12,18,16,8,15,14,10,18,12,11,10,16,18,12,17,3,14,10,12,15,13,17,16,19,19,8,17,11,17,14,13
"180",11,10,17,14,15,15,20,14,17,13,18,20,17,20,15,15,11,17,16,24,16,16,13,18,17,17,16,21,20,16,15,15,14,21,20,23,16,18,20,0,16,12,23,4,14,18,21,18,17,19,17,21,23,18,21,23,24,28,22,16,26,20,23,24,17,16,17,19,21,22,18,22,22,13,14,16,24,18,17,16,22,24,18,17,23,20,16,18,15,11,17,26,17,19,22,23,11,17,24,23
"181",5,6,7,2,3,3,10,2,7,9,8,10,5,10,3,11,7,5,4,14,4,6,9,14,13,5,4,11,8,12,11,13,10,11,16,13,12,6,10,16,0,8,13,16,10,6,11,14,13,7,5,11,13,14,11,13,14,18,12,12,16,8,13,14,5,4,13,7,17,12,14,10,12,11,10,4,14,6,5,4,10,12,6,13,13,8,4,6,11,9,13,16,15,15,12,13,7,13,14,13
"186",3,2,9,6,7,7,12,6,9,5,10,12,9,12,7,7,3,9,8,16,8,8,5,10,9,9,8,13,12,8,7,9,6,13,12,15,8,10,12,12,8,0,15,12,6,10,13,10,9,11,9,13,15,10,13,15,16,20,14,8,18,12,15,16,9,8,9,11,13,14,10,14,14,7,6,8,16,10,9,8,14,16,10,9,15,12,8,10,7,5,9,18,11,11,14,15,3,9,16,15
"191",12,13,14,11,12,12,17,11,14,16,15,17,14,17,12,18,14,14,13,5,13,13,16,21,20,14,13,18,17,19,18,20,17,18,23,20,19,15,17,23,13,15,0,23,17,15,18,21,20,16,14,18,14,21,18,14,21,25,13,19,7,17,20,5,14,13,20,16,24,19,21,19,19,18,17,13,15,15,14,13,19,21,15,20,20,17,13,15,18,16,20,23,22,22,19,14,14,20,21,20
"192",11,10,17,14,15,15,20,14,17,13,18,20,17,20,15,15,11,17,16,24,16,16,13,18,17,17,16,21,20,16,15,15,14,21,20,23,16,18,20,4,16,12,23,0,14,18,21,18,17,19,17,21,23,18,21,23,24,28,22,16,26,20,23,24,17,16,17,19,21,22,18,22,22,13,14,16,24,18,17,16,22,24,18,17,23,20,16,18,15,11,17,26,17,19,22,23,11,17,24,23
"193",5,4,11,8,9,9,14,8,11,7,12,14,11,14,9,9,5,11,10,18,10,10,7,12,11,11,10,15,14,10,9,11,8,15,14,17,10,12,14,14,10,6,17,14,0,12,15,12,11,13,11,15,17,12,15,17,18,22,16,10,20,14,17,18,11,10,11,13,15,16,12,16,16,9,8,10,18,12,11,10,16,18,12,11,17,14,10,12,9,7,11,20,13,13,16,17,5,11,18,17
"197",7,8,9,4,5,5,12,4,9,11,10,12,7,12,5,13,9,7,6,16,6,8,11,16,15,7,6,13,10,14,13,15,12,13,18,15,14,8,12,18,6,10,15,18,12,0,13,16,15,9,7,13,15,16,13,15,16,20,14,14,18,10,15,16,7,6,15,9,19,14,16,12,14,13,12,6,16,8,7,6,12,14,8,15,15,10,6,8,13,11,15,18,17,17,14,15,9,15,16,15
"204",10,11,8,9,10,10,11,9,8,14,5,11,12,1,10,16,12,12,11,19,11,7,14,19,18,12,11,12,15,17,16,18,15,12,21,14,17,13,7,21,11,13,18,21,15,13,0,19,18,14,12,2,18,19,12,18,15,19,17,17,21,15,14,19,12,11,18,14,22,13,19,17,3,16,15,11,19,13,12,11,17,19,13,18,10,15,11,13,16,14,18,17,20,20,3,18,12,18,15,14
"210",9,8,15,12,13,13,18,12,15,9,16,18,15,18,13,11,9,15,14,22,14,14,11,4,3,15,14,19,18,14,11,15,12,19,16,21,2,16,18,18,14,10,21,18,12,16,19,0,13,17,15,19,21,16,19,21,22,26,20,12,24,18,21,22,15,14,15,17,19,20,16,20,20,13,12,14,22,16,15,14,20,22,16,15,21,18,14,16,13,11,13,24,17,17,20,21,9,15,22,21
"212",8,7,14,11,12,12,17,11,14,4,15,17,14,17,12,2,8,14,13,21,13,13,10,13,12,14,13,18,17,13,6,14,11,18,7,20,11,15,17,17,13,9,20,17,11,15,18,13,0,16,14,18,20,15,18,20,21,25,19,7,23,17,20,21,14,13,14,16,18,19,15,19,19,12,11,13,21,15,14,13,19,21,15,14,20,17,13,15,12,10,8,23,16,16,19,20,8,14,21,20
"214",8,9,10,5,4,6,13,5,10,12,11,13,8,13,6,14,10,6,7,17,7,9,12,17,16,8,7,14,3,15,14,16,13,14,19,16,15,9,13,19,7,11,16,19,13,9,14,17,16,0,8,14,16,17,14,16,17,21,15,15,19,9,16,17,8,5,16,10,20,15,17,13,15,14,13,7,17,9,8,7,5,13,1,16,16,9,7,9,14,12,16,19,18,18,15,16,10,16,17,16
"216",6,7,8,3,4,4,11,3,8,10,9,11,6,11,2,12,8,6,5,15,5,7,10,15,14,6,5,12,9,13,12,14,11,12,17,14,13,7,11,17,5,9,14,17,11,7,12,15,14,8,0,12,14,15,12,14,15,19,13,13,17,9,14,15,6,5,14,8,18,13,15,11,13,12,11,5,15,7,6,5,11,13,7,14,14,9,5,7,12,10,14,17,16,16,13,14,8,14,15,14
