iteration,logLikelihood,logPrior,theta,mutation_rate,infection_rate,1,2,3,4,5,6,7,8,9,10,1_InfTime,2_InfTime,3_InfTime,4_InfTime,5_InfTime,6_InfTime,7_InfTime,8_InfTime,9_InfTime,10_InfTime
61000,-1036.3308338837946,-0.9361646533896782,7.626840960905525e-8,1.4202620296042962e-5,1.8646206748244252,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.019622164207378955,0.8071204859279817,1.2267496960559638,1.4888715721303745,1.9202884597106313,0.8072789366684531,2.6181259707749613,2.862909732080871
62000,-1036.286859106196,-0.11838943765367771,5.025483142188878e-7,1.1237586647645119e-5,2.9855694988047037,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.021808064576775917,0.8073952635883848,0.9501266209249637,1.6468745202869197,1.9104813786243604,0.8072151645900908,2.649035248262224,2.8758505103840033
63000,-1038.2320137377758,7.3569783274730876,1.190048953339948e-7,1.413636529318676e-5,3.7779328807720485,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.08175122897236463,0.8072971897523719,1.250175218858728,1.6468745202869197,1.854117448164205,0.8072581515573071,2.726335836698951,2.7224008582488546
64000,-1036.9117057433734,6.264163100587195,1.2449681643715909e-6,1.3516845211845509e-5,4.593267767541294,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.18324832203261235,0.8073911570813695,1.2346166300317756,1.649488622562996,1.9162195849455623,0.8073050768589747,2.726335836698951,2.9221635686594825
65000,-1035.1916806871843,10.14074577995226,6.532528129867487e-7,1.3081787884868608e-5,3.107084944978275,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.0816606354168348,0.8070922570181414,1.248769670011892,1.6493361414021344,1.9294630318725647,0.8072692235971507,2.726335836698951,2.9221635686594825
66000,-1035.6326577091488,6.080733938887604,2.13505219625542e-7,1.5296325732487418e-5,3.3728100092424937,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.040108757091231,0.8070963333456534,1.248769670011892,1.6430804919073019,1.9081789523786443,0.8071076214732971,2.726335836698951,2.876764156461817
67000,-1035.5772452238516,5.306905832352074,7.226758155019424e-7,1.1421780878035398e-5,2.5991758691841316,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.11655467998029266,0.8073932441876184,0.9220960692025736,1.6412436723965602,1.9395681769419753,0.8073316274163358,2.726335836698951,2.917698472085829
68000,-1035.6961531617028,1.4230290911550951,2.7942121080354013e-7,1.3383726378915886e-5,1.7454013319259385,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.17279155318559178,0.8073499999593912,1.1110303815651885,1.4658854767007194,1.9446991005959742,0.8071241303678298,2.701789039064729,2.871956319037055
69000,-1036.2444190375784,-1.3143614876684853,2.068155116958491e-8,1.5030905072166452e-5,0.9682898944541521,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.13816216089047398,0.8073099399112998,1.1833643503617708,1.606867503634372,1.849933247925909,0.8072599263497962,2.7148328877948558,2.8688013350050108
70000,-1036.7849545757936,1.738646418568058,6.362853470248451e-7,1.2145251134077335e-5,1.1288301003967562,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.011630000816196478,0.8073979294867022,1.2457625775249674,1.530367491330073,1.8412768775406705,0.8072588450474275,2.682676545885718,2.9272050950100144
71000,-1037.1309493777628,0.8443940068948644,1.9378425578027916e-8,1.249725804155327e-5,2.1346917544009782,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.21967146544815597,0.8072196209503851,1.1068652614947039,1.6390273379614728,1.8897416670268512,0.8073380832319609,2.7064696573533706,2.858630217510629
72000,-1035.8281125204553,2.3604709061061007,6.251989596855597e-7,1.2634513513888058e-5,3.0903500747271235,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.13953534344750954,0.8071207592879444,1.0436573151638768,1.628966881314497,1.942678290809077,0.8071478787236599,2.7226970786600635,2.8387122251408243
